,IP,A,B,Date&Time,TZ,C,Site,Protocol,Status,Length
0,192.168.122.1,-,-,1/July/2020:18:1:31,+0530,GET,/,HTTP/1.1,200,109
1,192.168.122.1,-,-,1/July/2020:18:1:32,+0530,GET,/favicon.ico,HTTP/1.1
2,192.168.122.1,-,-,1/July/2020:18:1:39,+0530,GET,/,HTTP/1.1,304,-
3,192.168.122.1,-,-,1/July/2020:18:1:40,+0530,GET,/404 231
4,192.168.122.1,-,-,1/July/2020:18:1:41,+0530,GET,/,HTTP/1.1,304,-
5,192.168.122.1,-,-,1/July/2020:18:1:42,+0530,GET,/GET,/favicon.ico,HTTP/1.1
6,192.168.122.1,-,-,1/July/2020:18:1:42,+0530,GET,/,HTTP/1.1,404,-
7,192.168.122.1,-,-,1/July/2020:18:1:43,+0530,GET,/,HTTP/1.1,404,-
8,192.168.122.1,-,-,1/July/2020:18:1:43,+0530,GET,/,HTTP/1.1,304,-
9,192.168.122.1,-,-,1/July/2020:18:1:44,+0530,GET,/,HTTP/1.1,304,-

